Adam Hughes
Akira Toriyama
Apollonia Saintclair
Armin Hansen
Awataguchi Takamitsu
Baiōken Eishun
Chiho Aoshima
Eiichiro Oda
Fujishima Takeji
Gai Qi
Gatōken Shunshi
Go Nagai
Gyoshū Hayami
Hariton Pushwagner
Hasegawa Tōhaku
Hayao Miyazaki
Hirohiko Araki
Hiromu Arakawa
Ike no Taiga
Inio Asano
John Kenn Mortensen
Junji Ito
Katsuhiro Otomo
Ken Sugimori
Kentaro Miura
Kobayashi Kiyochika
Leiji Matsumoto
Makoto Shinkai
Masaaki Sasamoto
Masamune Shirow
Michael Cheval
Miho Hirano
Naoki Urasawa
Naoko Takeuchi
Phil Noto
Posuka Demizu
Rumiko Takahashi
Satoshi Kon
Shinji Aramaki
Shintaro Kago
Shotaro Ishinomori
Shusei Nagaoko
Studio Ghibli
Takeshi Obata
Toei Animations
Tsutomu Nihei
Yoji Shinkawa
Yoshiyuki Tomino
